ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,OccupancyRate,Timestamp,Hour,DayOfWeek,Load,OccupancyRounded,OccupancyRatio,Next_Price_01,Next_price_02
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,,2,False,05-10-2016,09:30,0.143847487,05-10-2016 09:30,9,2,0,83,0.143847487,11.43847487,13.08391772
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,0.0,3,False,05-10-2016,10:04,0.197573657,05-10-2016 10:04,10,2,0,114,0.197573657,11.97573657,12.26638342
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,1.0,4,False,05-10-2016,10:30,0.221837088,05-10-2016 10:30,10,2,0,128,0.221837088,12.21837088,12.13761339
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,,4,False,05-10-2016,11:04,0.256499133,05-10-2016 11:04,11,2,0,148,0.256499133,12.56499133,11.91562656
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,,4,False,05-10-2016,11:30,0.280762565,05-10-2016 11:30,11,2,0,162,0.280762565,12.80762565,11.00908736
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,1.0,6,False,05-10-2016,12:04,0.308492201,05-10-2016 12:04,12,2,0,178,0.308492201,13.08492201,11.09011585
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,1.0,7,False,05-10-2016,12:30,0.317157712,05-10-2016 12:30,12,2,0,183,0.317157712,13.17157712,11.20308428
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,1.0,7,False,05-10-2016,12:57,0.303292894,05-10-2016 12:57,12,2,0,175,0.303292894,13.03292894,11.71588097
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,1.0,6,False,05-10-2016,13:30,0.310225303,05-10-2016 13:30,13,2,0,179,0.310225303,13.10225303,12.47075287
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,,4,False,05-10-2016,13:57,0.301559792,05-10-2016 13:57,13,2,0,174,0.301559792,13.01559792,13.96314083
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,1.0,5,False,05-10-2016,14:30,0.273830156,05-10-2016 14:30,14,2,0,158,0.273830156,12.73830156,14.07610926
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,,3,False,05-10-2016,14:57,0.251299827,05-10-2016 14:57,14,2,0,145,0.251299827,12.51299827,14.10870555
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,0.0,2,False,05-10-2016,15:30,0.223570191,05-10-2016 15:30,15,2,0,129,0.223570191,12.23570191,12.73461735
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,0.0,2,False,05-10-2016,16:04,0.209705373,05-10-2016 16:04,16,2,0,121,0.209705373,12.09705373,12.65390846
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,0.0,1,False,05-10-2016,16:30,0.197573657,05-10-2016 16:30,16,2,0,114,0.197573657,11.97573657,12.2547537
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,1,False,06-10-2016,07:57,0.100519931,06-10-2016 07:57,7,3,0,58,0.100519931,11.00519931,12.26694202
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,0.0,1,False,06-10-2016,08:30,0.109185442,06-10-2016 08:30,8,3,0,63,0.109185442,11.09185442,11.11864721
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,0.0,1,False,06-10-2016,08:57,0.121317158,06-10-2016 08:57,8,3,0,70,0.121317158,11.21317158,11.28433461
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,0.0,2,False,06-10-2016,09:30,0.164644714,06-10-2016 09:30,9,3,0,95,0.164644714,11.64644714,11.8452096
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,0.0,3,False,06-10-2016,10:03,0.233968804,06-10-2016 10:03,10,3,0,135,0.233968804,12.33968804,12.24865114
41,BHMBCCMKT01,577,26.14453614,91.73617216,160,car,,3,False,06-10-2016,10:30,0.27729636,06-10-2016 10:30,10,3,0,160,0.27729636,12.7729636,13.30898559
42,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,,3,False,06-10-2016,10:57,0.306759099,06-10-2016 10:57,10,3,0,177,0.306759099,13.06759099,14.1408845
43,BHMBCCMKT01,577,26.14453614,91.73617216,191,cycle,,4,False,06-10-2016,11:30,0.33102253,06-10-2016 11:30,11,3,0,191,0.33102253,13.3102253,14.07631396
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,1.0,7,False,06-10-2016,12:04,0.344887348,06-10-2016 12:04,12,3,0,199,0.344887348,13.44887348,13.97983777
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,1.0,7,False,06-10-2016,12:30,0.357019064,06-10-2016 12:30,12,3,0,206,0.357019064,13.57019064,13.99597612
46,BHMBCCMKT01,577,26.14453614,91.73617216,198,car,,5,False,06-10-2016,12:57,0.343154246,06-10-2016 12:57,12,3,0,198,0.343154246,13.43154246,12.96081036
47,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,1.0,7,False,06-10-2016,13:30,0.360485269,06-10-2016 13:30,13,3,0,208,0.360485269,13.60485269,12.7509947
48,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,,5,False,06-10-2016,13:57,0.346620451,06-10-2016 13:57,13,3,0,200,0.346620451,13.46620451,12.73485635
49,BHMBCCMKT01,577,26.14453614,91.73617216,175,cycle,,3,False,06-10-2016,14:30,0.303292894,06-10-2016 14:30,14,3,0,175,0.303292894,13.03292894,12.31557891
50,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,0.0,2,False,06-10-2016,15:04,0.273830156,06-10-2016 15:04,15,3,0,158,0.273830156,12.73830156,11.00953106
51,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,0.0,2,False,06-10-2016,15:31,0.265164645,06-10-2016 15:31,15,3,0,153,0.265164645,12.65164645,11.28425401
52,BHMBCCMKT01,577,26.14453614,91.73617216,135,bike,0.0,1,False,06-10-2016,16:04,0.233968804,06-10-2016 16:04,16,3,0,135,0.233968804,12.33968804,11.86156979
53,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,0.0,2,False,06-10-2016,16:30,0.223570191,06-10-2016 16:30,16,3,0,129,0.223570191,12.23570191,12.84237856
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,2,False,07-10-2016,08:03,0.100519931,07-10-2016 08:03,8,4,0,58,0.100519931,11.00519931,15.69038771
55,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,,2,False,07-10-2016,08:30,0.105719237,07-10-2016 08:30,8,4,0,61,0.105719237,11.05719237,16.02532583
56,BHMBCCMKT01,577,26.14453614,91.73617216,75,car,0.0,1,False,07-10-2016,09:04,0.129982669,07-10-2016 09:04,9,4,0,75,0.129982669,11.29982669,16.36853506
57,BHMBCCMKT01,577,26.14453614,91.73617216,103,car,0.0,2,False,07-10-2016,09:30,0.178509532,07-10-2016 09:30,9,4,0,103,0.178509532,11.78509532,16.51378018
58,BHMBCCMKT01,577,26.14453614,91.73617216,128,bike,0.0,2,False,07-10-2016,09:57,0.221837088,07-10-2016 09:57,9,4,0,128,0.221837088,12.21837088,16.3342493
59,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,1.0,5,False,07-10-2016,10:30,0.298093588,07-10-2016 10:30,10,4,0,172,0.298093588,12.98093588,16.07607003
60,BHMBCCMKT01,577,26.14453614,91.73617216,188,car,,3,False,07-10-2016,10:57,0.325823224,07-10-2016 10:57,10,4,0,188,0.325823224,13.25823224,10.86355356
61,BHMBCCMKT01,577,26.14453614,91.73617216,199,bike,,4,False,07-10-2016,11:30,0.344887348,07-10-2016 11:30,11,4,0,199,0.344887348,13.44887348,10.86353641
62,BHMBCCMKT01,577,26.14453614,91.73617216,210,car,1.0,7,False,07-10-2016,12:03,0.363951473,07-10-2016 12:03,12,4,0,210,0.363951473,13.63951473,10.88002865
63,BHMBCCMKT01,577,26.14453614,91.73617216,206,bike,1.0,7,False,07-10-2016,12:30,0.357019064,07-10-2016 12:30,12,4,0,206,0.357019064,13.57019064,10.8800458
64,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,1.0,7,False,07-10-2016,13:04,0.346620451,07-10-2016 13:04,13,4,0,200,0.346620451,13.46620451,11.56914681
65,BHMBCCMKT01,577,26.14453614,91.73617216,201,car,1.0,7,False,07-10-2016,13:30,0.348353553,07-10-2016 13:30,13,4,0,201,0.348353553,13.48353553,13.71650731
66,BHMBCCMKT01,577,26.14453614,91.73617216,193,bike,,3,False,07-10-2016,14:03,0.334488735,07-10-2016 14:03,14,4,0,193,0.334488735,13.34488735,13.91443711
67,BHMBCCMKT01,577,26.14453614,91.73617216,181,car,,4,False,07-10-2016,14:30,0.313691508,07-10-2016 14:30,14,4,0,181,0.313691508,13.13691508,14.28163477
68,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,0.0,2,False,07-10-2016,15:04,0.298093588,07-10-2016 15:04,15,4,0,172,0.298093588,12.98093588,14.11241836
69,BHMBCCMKT01,577,26.14453614,91.73617216,159,cycle,0.0,2,False,07-10-2016,15:30,0.275563258,07-10-2016 15:30,15,4,0,159,0.275563258,12.75563258,13.37952583
70,BHMBCCMKT01,577,26.14453614,91.73617216,158,cycle,0.0,2,False,07-10-2016,15:57,0.273830156,07-10-2016 15:57,15,4,0,158,0.273830156,12.73830156,13.20200401
71,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,0.0,2,False,07-10-2016,16:30,0.228769497,07-10-2016 16:30,16,4,0,132,0.228769497,12.28769497,12.79891636
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,1,False,08-10-2016,07:57,0.100519931,08-10-2016 07:57,7,5,0,58,0.100519931,11.00519931,12.33483717
73,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,,2,False,08-10-2016,08:30,0.105719237,08-10-2016 08:30,8,5,0,61,0.105719237,11.05719237,10.94418802
74,BHMBCCMKT01,577,26.14453614,91.73617216,75,truck,0.0,1,False,08-10-2016,08:57,0.129982669,08-10-2016 08:57,8,5,0,75,0.129982669,11.29982669,10.97651617
75,BHMBCCMKT01,577,26.14453614,91.73617216,104,car,0.0,2,False,08-10-2016,09:30,0.180242634,08-10-2016 09:30,9,5,0,104,0.180242634,11.80242634,11.12206374
76,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,0.0,3,False,08-10-2016,10:04,0.273830156,08-10-2016 10:04,10,5,0,158,0.273830156,12.73830156,11.36015463
77,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,,3,False,08-10-2016,10:30,0.33102253,08-10-2016 10:30,10,5,0,191,0.33102253,13.3102253,11.66715428
78,BHMBCCMKT01,577,26.14453614,91.73617216,223,truck,,4,False,08-10-2016,10:57,0.386481802,08-10-2016 10:57,10,5,0,223,0.386481802,13.86481802,13.4016003
79,BHMBCCMKT01,577,26.14453614,91.73617216,254,car,,4,False,08-10-2016,11:30,0.440207972,08-10-2016 11:30,11,5,0,254,0.440207972,14.40207972,13.41807539
80,BHMBCCMKT01,577,26.14453614,91.73617216,306,car,1.0,7,False,08-10-2016,12:04,0.530329289,08-10-2016 12:04,12,5,0,306,0.530329289,15.30329289,13.13188907
81,BHMBCCMKT01,577,26.14453614,91.73617216,320,car,1.0,8,False,08-10-2016,12:30,0.554592721,08-10-2016 12:30,12,5,0,320,0.554592721,15.54592721,12.15692133
82,BHMBCCMKT01,577,26.14453614,91.73617216,348,car,1.0,7,False,08-10-2016,13:04,0.603119584,08-10-2016 13:04,13,5,0,348,0.603119584,16.03119584,12.02423556
83,BHMBCCMKT01,577,26.14453614,91.73617216,357,car,1.0,7,False,08-10-2016,13:30,0.618717504,08-10-2016 13:30,13,5,0,357,0.618717504,16.18717504,11.1058105
84,BHMBCCMKT01,577,26.14453614,91.73617216,395,bike,,4,False,08-10-2016,14:03,0.68457539,08-10-2016 14:03,14,5,0,395,0.68457539,16.8457539,11.26722827
85,BHMBCCMKT01,577,26.14453614,91.73617216,400,car,,4,False,08-10-2016,14:30,0.693240901,08-10-2016 14:30,14,5,0,400,0.693240901,16.93240901,11.68314343
86,BHMBCCMKT01,577,26.14453614,91.73617216,395,car,,4,False,08-10-2016,14:57,0.68457539,08-10-2016 14:57,14,5,0,395,0.68457539,16.8457539,14.38229417
87,BHMBCCMKT01,577,26.14453614,91.73617216,406,car,,3,False,08-10-2016,15:30,0.703639515,08-10-2016 15:30,15,5,0,406,0.703639515,17.03639515,14.42675918
88,BHMBCCMKT01,577,26.14453614,91.73617216,381,car,0.0,2,False,08-10-2016,16:04,0.660311958,08-10-2016 16:04,16,5,0,381,0.660311958,16.60311958,14.14454003
89,BHMBCCMKT01,577,26.14453614,91.73617216,365,truck,0.0,2,False,08-10-2016,16:30,0.632582322,08-10-2016 16:30,16,5,0,365,0.632582322,16.32582322,14.14454003
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,0.0,2,True,09-10-2016,08:04,0.072790295,09-10-2016 08:04,8,6,0,42,0.072790295,10.72790295,12.87940163
91,BHMBCCMKT01,577,26.14453614,91.73617216,42,bike,0.0,2,True,09-10-2016,08:30,0.072790295,09-10-2016 08:30,8,6,0,42,0.072790295,10.72790295,12.750312
92,BHMBCCMKT01,577,26.14453614,91.73617216,43,car,0.0,2,True,09-10-2016,09:04,0.074523397,09-10-2016 09:04,9,6,0,43,0.074523397,10.74523397,12.49638522
93,BHMBCCMKT01,577,26.14453614,91.73617216,43,cycle,0.0,2,True,09-10-2016,09:30,0.074523397,09-10-2016 09:30,9,6,0,43,0.074523397,10.74523397,12.23422163
94,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,,3,True,09-10-2016,09:57,0.086655113,09-10-2016 09:57,9,6,0,50,0.086655113,10.86655113,10.89621668
95,BHMBCCMKT01,577,26.14453614,91.73617216,64,cycle,1.0,5,True,09-10-2016,10:30,0.110918544,09-10-2016 10:30,10,6,0,64,0.110918544,11.10918544,11.10206517
96,BHMBCCMKT01,577,26.14453614,91.73617216,100,truck,,6,True,09-10-2016,11:04,0.173310225,09-10-2016 11:04,11,6,0,100,0.173310225,11.73310225,11.10635194
97,BHMBCCMKT01,577,26.14453614,91.73617216,126,car,,6,True,09-10-2016,11:30,0.218370884,09-10-2016 11:30,11,6,0,126,0.218370884,12.18370884,11.25161422
98,BHMBCCMKT01,577,26.14453614,91.73617216,148,car,,6,True,09-10-2016,11:57,0.256499133,09-10-2016 11:57,11,6,0,148,0.256499133,12.56499133,12.95017026
99,BHMBCCMKT01,577,26.14453614,91.73617216,170,truck,1.0,9,True,09-10-2016,12:30,0.294627383,09-10-2016 12:30,12,6,0,170,0.294627383,12.94627383,13.17642673
100,BHMBCCMKT01,577,26.14453614,91.73617216,189,car,1.0,8,True,09-10-2016,13:04,0.327556326,09-10-2016 13:04,13,6,0,189,0.327556326,13.27556326,13.28941231
101,BHMBCCMKT01,577,26.14453614,91.73617216,205,bike,1.0,9,True,09-10-2016,13:30,0.355285962,09-10-2016 13:30,13,6,0,205,0.355285962,13.55285962,13.2291457
102,BHMBCCMKT01,577,26.14453614,91.73617216,208,cycle,1.0,7,True,09-10-2016,14:03,0.360485269,09-10-2016 14:03,14,6,0,208,0.360485269,13.60485269,12.44390525
103,BHMBCCMKT01,577,26.14453614,91.73617216,209,car,,5,True,09-10-2016,14:30,0.362218371,09-10-2016 14:30,14,6,0,209,0.362218371,13.62218371,12.25027938
104,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,0.0,3,True,09-10-2016,15:04,0.33102253,09-10-2016 15:04,15,6,0,191,0.33102253,13.3102253,12.13727664
105,BHMBCCMKT01,577,26.14453614,91.73617216,180,car,0.0,3,True,09-10-2016,15:30,0.311958406,09-10-2016 15:30,15,6,0,180,0.311958406,13.11958406,11.11808861
106,BHMBCCMKT01,577,26.14453614,91.73617216,155,truck,0.0,3,True,09-10-2016,16:03,0.268630849,09-10-2016 16:03,16,6,0,155,0.268630849,12.68630849,11.12239254
107,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,0.0,2,True,09-10-2016,16:30,0.2305026,09-10-2016 16:30,16,6,0,133,0.2305026,12.305026,11.40925237
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,0.0,1,False,10-10-2016,08:04,0.093587522,10-10-2016 08:04,8,0,0,54,0.093587522,10.93587522,11.74817481
109,BHMBCCMKT01,577,26.14453614,91.73617216,56,truck,0.0,1,False,10-10-2016,08:30,0.097053726,10-10-2016 08:30,8,0,0,56,0.097053726,10.97053726,12.23229094
110,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,0.0,1,False,10-10-2016,09:04,0.112651646,10-10-2016 09:04,9,0,0,65,0.112651646,11.12651646,14.4795851
111,BHMBCCMKT01,577,26.14453614,91.73617216,73,bike,0.0,2,False,10-10-2016,09:30,0.126516464,10-10-2016 09:30,9,0,0,73,0.126516464,11.26516464,14.09655154
112,BHMBCCMKT01,577,26.14453614,91.73617216,92,cycle,0.0,2,False,10-10-2016,10:03,0.159445407,10-10-2016 10:03,10,0,0,92,0.159445407,11.59445407,13.91904686
113,BHMBCCMKT01,577,26.14453614,91.73617216,113,cycle,,4,False,10-10-2016,10:30,0.195840555,10-10-2016 10:30,10,0,0,113,0.195840555,11.95840555,12.79917074
114,BHMBCCMKT01,577,26.14453614,91.73617216,144,car,,3,False,10-10-2016,10:57,0.249566724,10-10-2016 10:57,10,0,0,144,0.249566724,12.49566724,12.50869763
115,BHMBCCMKT01,577,26.14453614,91.73617216,149,car,,4,False,10-10-2016,11:30,0.258232236,10-10-2016 11:30,11,0,0,149,0.258232236,12.58232236,12.31535706
116,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,,4,False,10-10-2016,11:57,0.275563258,10-10-2016 11:57,11,0,0,159,0.275563258,12.75563258,12.28308037
117,BHMBCCMKT01,577,26.14453614,91.73617216,171,car,1.0,6,False,10-10-2016,12:30,0.296360485,10-10-2016 12:30,12,0,0,171,0.296360485,12.96360485,10.92895422
118,BHMBCCMKT01,577,26.14453614,91.73617216,176,truck,,5,False,10-10-2016,13:04,0.305025997,10-10-2016 13:04,13,0,0,176,0.305025997,13.05025997,10.99350761
119,BHMBCCMKT01,577,26.14453614,91.73617216,172,car,1.0,6,False,10-10-2016,13:30,0.298093588,10-10-2016 13:30,13,0,0,172,0.298093588,12.98093588,11.79679455
120,BHMBCCMKT01,577,26.14453614,91.73617216,161,car,1.0,5,False,10-10-2016,14:03,0.279029463,10-10-2016 14:03,14,0,0,161,0.279029463,12.79029463,12.34583512
121,BHMBCCMKT01,577,26.14453614,91.73617216,154,car,,3,False,10-10-2016,14:30,0.266897747,10-10-2016 14:30,14,0,0,154,0.266897747,12.66897747,12.82601837
122,BHMBCCMKT01,577,26.14453614,91.73617216,137,car,,4,False,10-10-2016,14:57,0.237435009,10-10-2016 14:57,14,0,0,137,0.237435009,12.37435009,14.36682136
123,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,0.0,1,False,10-10-2016,15:30,0.223570191,10-10-2016 15:30,15,0,0,129,0.223570191,12.23570191,13.95156255
124,BHMBCCMKT01,577,26.14453614,91.73617216,130,car,,3,False,10-10-2016,15:57,0.225303293,10-10-2016 15:57,15,0,0,130,0.225303293,12.25303293,13.99597612
125,BHMBCCMKT01,577,26.14453614,91.73617216,114,truck,0.0,2,False,10-10-2016,16:30,0.197573657,10-10-2016 16:30,16,0,0,114,0.197573657,11.97573657,12.94463772
126,BHMBCCMKT01,577,26.14453614,91.73617216,56,bike,,1,False,11-10-2016,08:04,0.097053726,11-10-2016 08:04,8,1,0,56,0.097053726,10.97053726,12.78323709
127,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,0.0,1,False,11-10-2016,08:30,0.110918544,11-10-2016 08:30,8,1,0,64,0.110918544,11.10918544,12.30340774
128,BHMBCCMKT01,577,26.14453614,91.73617216,74,truck,0.0,1,False,11-10-2016,08:57,0.128249567,11-10-2016 08:57,8,1,0,74,0.128249567,11.28249567,12.34785561
129,BHMBCCMKT01,577,26.14453614,91.73617216,93,bike,0.0,2,False,11-10-2016,09:30,0.16117851,11-10-2016 09:30,9,1,0,93,0.16117851,11.6117851,10.92915892
130,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,,2,False,11-10-2016,09:57,0.223570191,11-10-2016 09:57,9,1,0,129,0.223570191,12.23570191,11.09055954
131,BHMBCCMKT01,577,26.14453614,91.73617216,167,car,,3,False,11-10-2016,10:30,0.289428076,11-10-2016 10:30,10,1,0,167,0.289428076,12.89428076,11.42583441
132,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,,3,False,11-10-2016,10:57,0.346620451,11-10-2016 10:57,10,1,0,200,0.346620451,13.46620451,11.81315475
133,BHMBCCMKT01,577,26.14453614,91.73617216,219,car,,5,False,11-10-2016,11:30,0.379549393,11-10-2016 11:30,11,1,0,219,0.379549393,13.79549393,12.77782517
134,BHMBCCMKT01,577,26.14453614,91.73617216,225,car,1.0,7,False,11-10-2016,12:03,0.389948007,11-10-2016 12:03,12,1,0,225,0.389948007,13.89948007,13.05217708
135,BHMBCCMKT01,577,26.14453614,91.73617216,221,cycle,1.0,8,False,11-10-2016,12:30,0.383015598,11-10-2016 12:30,12,1,0,221,0.383015598,13.83015598,15.31523854
136,BHMBCCMKT01,577,26.14453614,91.73617216,217,cycle,1.0,6,False,11-10-2016,13:04,0.376083189,11-10-2016 13:04,13,1,0,217,0.376083189,13.76083189,15.65414384
137,BHMBCCMKT01,577,26.14453614,91.73617216,217,cycle,1.0,6,False,11-10-2016,13:31,0.376083189,11-10-2016 13:31,13,1,0,217,0.376083189,13.76083189,16.1103215
138,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,,4,False,11-10-2016,14:04,0.360485269,11-10-2016 14:04,14,1,0,208,0.360485269,13.60485269,16.5420897
139,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,,3,False,11-10-2016,14:30,0.33102253,11-10-2016 14:30,14,1,0,191,0.33102253,13.3102253,16.95381949
140,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,0.0,2,False,11-10-2016,15:03,0.289428076,11-10-2016 15:03,15,1,0,167,0.289428076,12.89428076,17.427353
141,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,0.0,2,False,11-10-2016,15:33,0.275563258,11-10-2016 15:33,15,1,0,159,0.275563258,12.75563258,17.20139899
142,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,0.0,1,False,11-10-2016,16:01,0.259965338,11-10-2016 16:01,16,1,0,150,0.259965338,12.59965338,16.83453807
143,BHMBCCMKT01,577,26.14453614,91.73617216,127,car,0.0,2,False,11-10-2016,16:26,0.220103986,11-10-2016 16:26,16,1,0,127,0.220103986,12.20103986,16.52789232
144,BHMBCCMKT01,577,26.14453614,91.73617216,51,bike,0.0,1,False,12-10-2016,08:04,0.088388215,12-10-2016 08:04,8,2,0,51,0.088388215,10.88388215,10.96038364
145,BHMBCCMKT01,577,26.14453614,91.73617216,57,car,0.0,2,False,12-10-2016,08:31,0.098786828,12-10-2016 08:31,8,2,0,57,0.098786828,10.98786828,10.96036649
146,BHMBCCMKT01,577,26.14453614,91.73617216,64,bike,0.0,1,False,12-10-2016,09:03,0.110918544,12-10-2016 09:03,9,2,0,64,0.110918544,11.10918544,11.07368882
147,BHMBCCMKT01,577,26.14453614,91.73617216,73,car,0.0,1,False,12-10-2016,09:26,0.126516464,12-10-2016 09:26,9,2,0,73,0.126516464,11.26516464,11.10596552
